2022/7/20 13:51 UPDATE
ピーク時供給力(万kW),時間帯,供給力情報更新日,供給力情報更新時刻,ピーク時予備率(%),ピーク時使用率(%)
513,15:00～16:00,7月20日,13:46,20,83

予想最大電力(万kW),時間帯,予想最大電力情報更新日,予想最大電力情報更新時刻
428,15:00～16:00,7月20日,13:46

使用率ピーク時供給力(万kW),時間帯,供給力情報更新日,供給力情報更新時刻,使用率ピーク時予備率(%),使用率ピーク時使用率(%)
496,16:00～17:00,7月20日,13:46,16,85

使用率ピーク時予想電力(万kW),時間帯,予想電力情報更新日,予想電力情報更新時刻
426,16:00～17:00,7月20日,13:46

DATE,TIME,当日実績(万kW),予測値(万kW),使用率(%),供給力(万kW)
2022/7/20,0:00,284,286,72,391
2022/7/20,1:00,278,280,71,386
2022/7/20,2:00,286,287,72,397
2022/7/20,3:00,296,296,71,413
2022/7/20,4:00,298,295,72,411
2022/7/20,5:00,297,293,72,407
2022/7/20,6:00,293,296,70,412
2022/7/20,7:00,313,323,69,448
2022/7/20,8:00,364,373,81,449
2022/7/20,9:00,397,412,82,483
2022/7/20,10:00,410,426,80,507
2022/7/20,11:00,418,425,82,510
2022/7/20,12:00,410,403,83,489
2022/7/20,13:00,0,422,0,519
2022/7/20,14:00,0,427,0,525
2022/7/20,15:00,0,428,0,513
2022/7/20,16:00,0,426,0,496
2022/7/20,17:00,0,398,0,467
2022/7/20,18:00,0,382,0,445
2022/7/20,19:00,0,367,0,434
2022/7/20,20:00,0,349,0,429
2022/7/20,21:00,0,334,0,417
2022/7/20,22:00,0,316,0,394
2022/7/20,23:00,0,302,0,386

最大使用率(%),時間帯
83,12:00～13:00

翌日のピーク時供給力(万kW),時間帯,供給力情報更新日,供給力情報更新時刻,ピーク時予備率(%),ピーク時使用率(%)
,,,,,

翌日の予想最大電力(万kW),時間帯,予想最大電力情報更新日,予想最大電力情報更新時刻
,,,

翌日の使用率ピーク時供給力(万kW),時間帯,供給力情報更新日,供給力情報更新時刻,使用率ピーク時予備率(%),使用率ピーク時使用率(%)
,,,,,

翌日の使用率ピーク時予想電力(万kW),時間帯,予想電力情報更新日,予想電力情報更新時刻
,,,

DATE,TIME,当日実績（５分間隔値）(万kW),太陽光発電実績（５分間隔値）(万kW)
2022/7/20,0:00,291,0
2022/7/20,0:05,288,0
2022/7/20,0:10,286,0
2022/7/20,0:15,284,0
2022/7/20,0:20,283,0
2022/7/20,0:25,282,0
2022/7/20,0:30,283,0
2022/7/20,0:35,283,0
2022/7/20,0:40,280,0
2022/7/20,0:45,278,0
2022/7/20,0:50,277,0
2022/7/20,0:55,276,0
2022/7/20,1:00,277,0
2022/7/20,1:05,276,0
2022/7/20,1:10,274,0
2022/7/20,1:15,274,0
2022/7/20,1:20,272,0
2022/7/20,1:25,272,0
2022/7/20,1:30,274,0
2022/7/20,1:35,274,0
2022/7/20,1:40,274,0
2022/7/20,1:45,275,0
2022/7/20,1:50,277,0
2022/7/20,1:55,276,0
2022/7/20,2:00,277,0
2022/7/20,2:05,278,0
2022/7/20,2:10,280,0
2022/7/20,2:15,278,0
2022/7/20,2:20,279,0
2022/7/20,2:25,279,0
2022/7/20,2:30,283,0
2022/7/20,2:35,284,0
2022/7/20,2:40,286,0
2022/7/20,2:45,288,0
2022/7/20,2:50,289,0
2022/7/20,2:55,288,0
2022/7/20,3:00,290,0
2022/7/20,3:05,290,0
2022/7/20,3:10,289,0
2022/7/20,3:15,289,0
2022/7/20,3:20,291,0
2022/7/20,3:25,290,0
2022/7/20,3:30,293,0
2022/7/20,3:35,294,0
2022/7/20,3:40,294,0
2022/7/20,3:45,295,0
2022/7/20,3:50,297,0
2022/7/20,3:55,294,0
2022/7/20,4:00,297,0
2022/7/20,4:05,297,0
2022/7/20,4:10,294,0
2022/7/20,4:15,293,0
2022/7/20,4:20,292,0
2022/7/20,4:25,293,0
2022/7/20,4:30,295,0
2022/7/20,4:35,296,0
2022/7/20,4:40,297,0
2022/7/20,4:45,299,0
2022/7/20,4:50,298,0
2022/7/20,4:55,295,0
2022/7/20,5:00,296,0
2022/7/20,5:05,298,0
2022/7/20,5:10,298,1
2022/7/20,5:15,298,1
2022/7/20,5:20,295,1
2022/7/20,5:25,294,2
2022/7/20,5:30,296,3
2022/7/20,5:35,295,4
2022/7/20,5:40,292,5
2022/7/20,5:45,292,5
2022/7/20,5:50,292,6
2022/7/20,5:55,290,6
2022/7/20,6:00,290,6
2022/7/20,6:05,291,7
2022/7/20,6:10,290,7
2022/7/20,6:15,291,7
2022/7/20,6:20,289,7
2022/7/20,6:25,289,7
2022/7/20,6:30,288,8
2022/7/20,6:35,290,8
2022/7/20,6:40,291,9
2022/7/20,6:45,293,10
2022/7/20,6:50,292,11
2022/7/20,6:55,296,13
2022/7/20,7:00,298,16
2022/7/20,7:05,302,17
2022/7/20,7:10,304,18
2022/7/20,7:15,303,18
2022/7/20,7:20,304,19
2022/7/20,7:25,306,20
2022/7/20,7:30,309,22
2022/7/20,7:35,314,23
2022/7/20,7:40,316,25
2022/7/20,7:45,318,26
2022/7/20,7:50,321,29
2022/7/20,7:55,324,30
2022/7/20,8:00,327,31
2022/7/20,8:05,338,33
2022/7/20,8:10,343,35
2022/7/20,8:15,346,36
2022/7/20,8:20,349,37
2022/7/20,8:25,355,37
2022/7/20,8:30,361,37
2022/7/20,8:35,367,38
2022/7/20,8:40,371,38
2022/7/20,8:45,378,39
2022/7/20,8:50,382,41
2022/7/20,8:55,385,39
2022/7/20,9:00,387,40
2022/7/20,9:05,389,37
2022/7/20,9:10,392,38
2022/7/20,9:15,393,39
2022/7/20,9:20,396,42
2022/7/20,9:25,395,44
2022/7/20,9:30,395,44
2022/7/20,9:35,396,47
2022/7/20,9:40,398,48
2022/7/20,9:45,398,50
2022/7/20,9:50,401,54
2022/7/20,9:55,404,56
2022/7/20,10:00,401,54
2022/7/20,10:05,401,56
2022/7/20,10:10,401,56
2022/7/20,10:15,405,59
2022/7/20,10:20,407,59
2022/7/20,10:25,411,61
2022/7/20,10:30,410,60
2022/7/20,10:35,409,58
2022/7/20,10:40,412,62
2022/7/20,10:45,412,66
2022/7/20,10:50,414,69
2022/7/20,10:55,414,64
2022/7/20,11:00,413,64
2022/7/20,11:05,416,66
2022/7/20,11:10,415,68
2022/7/20,11:15,416,70
2022/7/20,11:20,415,72
2022/7/20,11:25,418,75
2022/7/20,11:30,418,76
2022/7/20,11:35,418,76
2022/7/20,11:40,418,77
2022/7/20,11:45,418,80
2022/7/20,11:50,415,81
2022/7/20,11:55,415,85
2022/7/20,12:00,415,86
2022/7/20,12:05,410,87
2022/7/20,12:10,408,87
2022/7/20,12:15,410,90
2022/7/20,12:20,410,89
2022/7/20,12:25,411,93
2022/7/20,12:30,408,95
2022/7/20,12:35,408,90
2022/7/20,12:40,408,91
2022/7/20,12:45,403,88
2022/7/20,12:50,409,93
2022/7/20,12:55,414,94
2022/7/20,13:00,416,93
2022/7/20,13:05,422,92
2022/7/20,13:10,423,92
2022/7/20,13:15,425,90
2022/7/20,13:20,424,88
2022/7/20,13:25,425,88
2022/7/20,13:30,428,88
