country,date,coal,gas,oil,nuclear,hydro,wind,solar,other
Algeria,1965,,,,0.0,0.4,0.0,0.0,0.0
Algeria,1966,,,,0.0,0.355,0.0,0.0,0.0
Algeria,1967,,,,0.0,0.41000000000000003,0.0,0.0,0.0
Algeria,1968,,,,0.0,0.5630000000000001,0.0,0.0,0.0
Algeria,1969,,,,0.0,0.361,0.0,0.0,0.0
Algeria,1970,,,,0.0,0.58,0.0,0.0,0.0
Algeria,1971,,,,0.0,0.33,0.0,0.0,0.0
Algeria,1972,,,,0.0,0.495,0.0,0.0,0.0
Algeria,1973,,,,0.0,0.752,0.0,0.0,0.0
Algeria,1974,,,,0.0,0.497,0.0,0.0,0.0
Algeria,1975,,,,0.0,0.328,0.0,0.0,0.0
Algeria,1976,,,,0.0,0.389,0.0,0.0,0.0
Algeria,1977,,,,0.0,0.269,0.0,0.0,0.0
Algeria,1978,,,,0.0,0.25,0.0,0.0,0.0
Algeria,1979,,,,0.0,0.291,0.0,0.0,0.0
Algeria,1980,,,,0.0,0.257,0.0,0.0,0.0
Algeria,1981,,,,0.0,0.366,0.0,0.0,0.0
Algeria,1982,,,,0.0,0.47900000000000004,0.0,0.0,0.0
Algeria,1983,,,,0.0,0.23500000000000001,0.0,0.0,0.0
Algeria,1984,,,,0.0,0.452,0.0,0.0,0.0
Algeria,1985,,,,0.0,0.646,0.0,0.0,0.0
Algeria,1986,,,,0.0,0.25,0.0,0.0,0.0
Algeria,1987,,,,0.0,0.499,0.0,0.0,0.0
Algeria,1988,,,,0.0,0.183,0.0,0.0,0.0
Algeria,1989,,,,0.0,0.226,0.0,0.0,0.0
Algeria,1990,,,,0.0,0.135,0.0,0.0,0.0
Algeria,1991,,,,0.0,0.293,0.0,0.0,0.0
Algeria,1992,,,,0.0,0.199,0.0,0.0,0.0
Algeria,1993,,,,0.0,0.353,0.0,0.0,0.0
Algeria,1994,,,,0.0,0.166,0.0,0.0,0.0
Algeria,1995,,,,0.0,0.193,0.0,0.0,0.0
